                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3513,                 2.4033,                 1.1678,                 1.3934,                0.69764,                0.57377,                0.65582,                0.33095,                0.69764,                0.57377,                0.63212,                0.26432,                  1.779,                 2.8973,                 1.3451,                 1.8414,               0.005644,               0.005644,               0.005644
                     24,                 1.3454,                 2.5723,                 1.1897,                 1.3848,                0.60434,                0.63934,                0.64072,                0.31332,                0.70918,                0.57377,                0.65807,                0.24988,                 1.8323,                 3.0429,                 1.4916,                 1.9258,               0.005446,               0.005446,               0.005446
                     25,                 1.3537,                   2.53,                 1.0722,                 1.3542,                0.75364,                0.57377,                0.65573,                0.31905,                0.79951,                0.60656,                 0.6898,                0.22969,                 1.8551,                 3.0934,                 1.6017,                 1.9617,               0.005248,               0.005248,               0.005248
                     26,                 1.3899,                 2.4386,                 1.0895,                 1.3959,                0.76179,                0.55738,                0.68883,                0.29357,                0.71225,                0.52459,                0.61488,                 0.2287,                 1.9878,                 3.1185,                 1.4887,                 2.0915,                0.00505,                0.00505,                0.00505
                     27,                 1.3123,                 2.4312,                 1.0201,                  1.356,                0.58836,                0.68852,                0.64296,                 0.2822,                0.56004,                0.67213,                0.61227,                0.22861,                 1.9578,                 2.8994,                 1.6793,                 1.9949,               0.004852,               0.004852,               0.004852
                     28,                 1.3499,                 2.4348,                0.98717,                 1.3737,                0.60221,                0.65574,                0.58028,                0.27825,                0.60221,                0.65574,                0.61076,                 0.2171,                 1.9471,                 3.0095,                 1.7638,                 2.0031,               0.004654,               0.004654,               0.004654
                     29,                 1.2623,                 2.3419,                 1.0088,                  1.328,                0.71521,                0.59016,                0.58557,                0.28053,                0.71969,                0.62295,                0.63786,                0.24748,                 1.9488,                 2.9777,                 1.5015,                 1.9967,               0.004456,               0.004456,               0.004456
                     30,                 1.2473,                 2.4611,                0.99733,                 1.2909,                0.85838,                 0.5082,                0.63813,                0.31732,                0.56802,                0.66827,                0.64044,                0.26051,                   1.98,                   2.92,                 1.4991,                 1.9666,               0.004258,               0.004258,               0.004258
                     31,                 1.2798,                 2.3907,                0.97514,                 1.3267,                0.73898,                0.57377,                0.67245,                0.32564,                0.62053,                0.64342,                 0.6796,                0.27376,                 1.9898,                 2.8833,                 1.3855,                 2.0155,                0.00406,                0.00406,                0.00406
                     32,                 1.2866,                 2.3263,                0.94143,                 1.3044,                0.66547,                0.59016,                0.66908,                 0.3369,                0.67258,                0.59016,                0.66275,                0.26417,                 1.9024,                 2.8009,                 1.4933,                 1.9542,               0.003862,               0.003862,               0.003862
                     33,                 1.2472,                 2.2557,                0.88952,                 1.3238,                0.66092,                0.59016,                0.62484,                0.31803,                0.67697,                0.58411,                0.64226,                0.27338,                 1.9908,                 2.7958,                 1.6285,                 1.9965,               0.003664,               0.003664,               0.003664
                     34,                 1.1545,                 2.2907,                0.82331,                  1.245,                0.81987,                0.52235,                0.65265,                0.32135,                0.66166,                0.52459,                0.62003,                0.25453,                 1.9439,                 2.7496,                 1.5841,                 1.9797,               0.003466,               0.003466,               0.003466
                     35,                 1.1942,                 2.2583,                0.82449,                 1.2676,                0.73939,                0.65122,                0.68329,                0.31514,                0.76004,                 0.4918,                0.59193,                0.24966,                 1.9976,                 2.9278,                 1.4918,                 2.0461,               0.003268,               0.003268,               0.003268
                     36,                 1.2011,                 2.2854,                0.90658,                 1.2689,                0.74698,                0.62923,                0.66048,                0.32809,                0.77185,                0.62295,                 0.6518,                0.25833,                 1.8723,                 3.1109,                 1.4076,                 1.9273,                0.00307,                0.00307,                0.00307
                     37,                 1.1858,                  2.221,                 0.8601,                 1.2593,                0.63746,                0.68852,                0.66994,                0.33811,                0.75505,                0.59016,                0.62639,                0.26025,                 1.8136,                  3.339,                 1.3867,                 1.7969,               0.002872,               0.002872,               0.002872
                     38,                 1.1897,                 2.2244,                0.86612,                 1.2523,                0.55853,                0.66375,                0.63302,                0.30471,                0.71791,                0.55738,                0.62487,                0.24249,                 1.8847,                 3.1023,                  1.359,                 1.8485,               0.002674,               0.002674,               0.002674
                     39,                  1.131,                 2.2414,                0.77221,                 1.2196,                0.54837,                0.63934,                0.62764,                 0.3209,                 0.6556,                0.53059,                0.62374,                0.28131,                 1.7524,                 3.0184,                 1.4162,                 1.7698,               0.002476,               0.002476,               0.002476
                     40,                 1.0821,                 2.0276,                0.81428,                  1.268,                0.67885,                0.59016,                0.63514,                0.32119,                0.74647,                0.52459,                0.60772,                0.27981,                 1.8141,                 2.9417,                 1.4465,                 1.8226,               0.002278,               0.002278,               0.002278
                     41,                 1.0735,                 1.9758,                0.72221,                 1.2569,                0.77825,                0.57377,                0.64924,                0.28291,                0.77825,                0.57377,                0.64419,                0.25883,                 2.0006,                 2.9236,                 1.4781,                 1.9734,                0.00208,                0.00208,                0.00208
                     42,                 1.0327,                 1.9071,                0.64421,                 1.2161,                0.78992,                0.61649,                0.64538,                0.31912,                0.74798,                0.60656,                 0.6039,                0.24811,                 1.8786,                 2.9101,                 1.4893,                 1.9261,               0.001882,               0.001882,               0.001882
                     43,                 1.0449,                 1.9165,                0.66276,                 1.2359,                0.77621,                0.63934,                0.65178,                0.35752,                0.72302,                0.60656,                0.62857,                0.26297,                 1.7455,                 2.9354,                 1.4925,                 1.8178,               0.001684,               0.001684,               0.001684
                     44,                 1.0115,                 1.8713,                0.66597,                 1.2009,                0.74952,                0.60656,                0.69351,                0.36336,                0.70024,                0.61279,                0.67622,                0.27807,                 1.7342,                 2.8886,                  1.397,                 1.8021,               0.001486,               0.001486,               0.001486
                     45,                 0.9575,                 1.7924,                0.61553,                 1.1553,                0.71816,                0.65574,                0.69793,                0.35477,                 0.7124,                0.65574,                0.69184,                0.28539,                  1.721,                 2.9256,                 1.3831,                 1.7781,               0.001288,               0.001288,               0.001288
                     46,                0.97574,                 1.8916,                0.60591,                 1.1809,                0.71029,                0.70492,                0.72388,                0.35954,                0.69631,                0.67663,                 0.7157,                0.28686,                 1.7459,                 2.9197,                 1.3111,                 1.7656,                0.00109,                0.00109,                0.00109
                     47,                  0.961,                 1.8754,                0.59963,                 1.1761,                0.63685,                0.65574,                0.69001,                 0.3508,                0.66124,                0.67213,                0.69421,                0.28874,                 1.7821,                 2.8901,                 1.3547,                 1.7911,               0.000892,               0.000892,               0.000892
                     48,                0.91094,                 1.8213,                0.57295,                 1.1492,                0.63762,                0.65574,                0.68155,                0.35481,                0.75783,                0.57377,                0.66047,                0.29429,                 1.7294,                 2.8681,                 1.4114,                 1.7876,               0.000694,               0.000694,               0.000694
                     49,                0.90665,                  1.793,                0.58572,                 1.1437,                 0.7135,                0.59016,                0.67786,                0.34279,                0.68161,                0.55738,                0.62322,                0.28812,                 1.7587,                 2.8549,                  1.417,                 1.8177,               0.000496,               0.000496,               0.000496
